區域,餐廳名稱,地址,菜系,電話,圖片,推薦類型
高雄,昭明海產家庭料理,"前金區自強一路53號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 241 2550,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8a6d3c0d3ac14ac38859a99057da09fe.jpeg,必比登推介
高雄,波記食堂,"苓雅區四維三路162號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 927 719 005,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/61f2a2efbf684a1b9b4d2729feaee326.jpeg,米其林推薦
高雄,Marc L³,"前金區仁義街231號, Kaohsiung, 80145, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 7 215 2157,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/baa88296cf9942119746be44af41c57f.jpg,米其林推薦
高雄,楊寶寶蒸餃 (朝明路),"楠梓區朝明路106號, Kaohsiung, 814, 臺灣","$
                                    ·
                                

                                
                                    餃子",+886 7 351 6600,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8990fb7e3b7d479a99863c3f8f15f755.jpeg,必比登推介
高雄,台南旺,"前金區六合二路187號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 272 0999,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0527a1a01b60492bb7b6bad5e115538d.jpeg,米其林推薦
高雄,北港蔡三代筒仔米糕 (鹽埕),"鹽埕區河西路166號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 551 7443,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4dfcb80ba29a47e2bac06fa582167698.jpg,必比登推介
高雄,Capstone Steakhouse,"鼓山區明華路366號1樓 (水京棧國際酒店), Kaohsiung, 臺灣","$$$
                                    ·
                                

                                
                                    牛排屋",+886 7 555 9682,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fe599c93206e406880f2d18bd48b419d.jpeg,米其林推薦
高雄,老新台菜 (九如二路),"三民區九如二路227號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 313 3077,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/93a8ff0f03ba4f208cce14ba8a6b06e3.jpeg,必比登推介
高雄,廖記米糕,"橋頭區橋南路119號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 8319,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f18292f2bfa24462983fb44fd00cf85c.jpg,必比登推介
高雄,鴨肉珍 (五福四路),"鹽埕區五福四路258號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 521 5018,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/50651d181fda479fbb5d9f26f4682c45.jpeg,米其林推薦
高雄,HAILI,"前金區成功一路264-1號2樓, Kaohsiung, 801, 臺灣","$$$
                                    ·
                                

                                
                                    現代菜",+886 7 215 0559,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9e1ab974cb524a1ea17c3ddfe37d7a96.jpeg,米其林一星
高雄,雋,"前鎮區復興四路8號, Kaohsiung, 臺灣","$$$$
                                    ·
                                

                                
                                    粵菜",+886 7 338 4885,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2ae3e06e26294748b766d746a519209e.jpg,米其林一星
高雄,薩瑪法國小館,"三民區正氣街14號, Kaohsiung, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/243d775279e04867b26aa1ec88667284.jpeg,米其林推薦
高雄,弘記肉燥飯舖,"左營區立文路96號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 558 3777,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1f2711838dba4852977eafc2af268169.jpeg,必比登推介
高雄,福園,"前金區成功一路266號9樓 (漢來大飯店), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 213 5739,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ca71670134064645b074f4a822e16baa.jpeg,米其林推薦
高雄,Thomas Chien,"前鎮區成功二路11號, Kaohsiung, 臺灣","$$$
                                    ·
                                

                                
                                    時尚法國菜",+886 7 536 9436,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5b1554460c52432abb6756e70347251f.jpg,米其林推薦
高雄,CRATAIN,"鼓山區昌盛路306號, Kaohsiung, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b4ee9eebf23a4105863ac0340d6c5f01.jpeg,米其林推薦
高雄,侯記鴨肉飯,"三民區自強一路201號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 282 7588,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/71b74bfb6dd54b8e9def02e0158ed16a.jpeg,必比登推介
高雄,牛老大涮牛肉 (自強二路),"前金區自強二路18號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 281 9196,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1eca42ae79bc4e8bbdc7deb6df8ff223.jpeg,必比登推介
高雄,秀明豬心冬粉,"旗山區永平街41號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 662 4625,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5925ef2fc8e24e3e977f958d42b50e13.jpeg,必比登推介
高雄,老爺美食館 (鳳山),"鳳山區海洋一路54-56號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 765 8430,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/42c30087da574b1493d2dede46603f09.jpeg,必比登推介
高雄,海光俱樂部中餐廳,"左營區南大路4號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    江浙菜",+886 7 582 1516,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6e16f2991865422ea51952ec7c576b76.jpeg,米其林推薦
高雄,鄭家切仔麵,"鹽埕區新樂街201巷5號, Kaohsiung, 803, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 7 561 0706,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d9b61ef6af1d4e7f9daf5e4f9791e52f.jpeg,米其林推薦
高雄,好蟳屋,"三民區建工路696號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 7 386 5699,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e2b6b7eb66304d82987ca346bc321ce6.jpeg,米其林推薦
高雄,Nibbon,"鼓山區龍水二路9號, Kaohsiung, 臺灣","$$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 7 586 9570,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4b02d53d8b0a4d5bb9ffebcee002654e.jpeg,米其林推薦
高雄,承,"前鎮區中華五路806號2樓, Kaohsiung, 臺灣","$$$$
                                    ·
                                

                                
                                    日本菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/716be63b56744b38b7afc788232d6c64.jpg,米其林一星
高雄,美享地,"鼓山區龍德新路222號11樓 (萬豪酒店), Kaohsiung, 804, 臺灣","$$$
                                    ·
                                

                                
                                    時尚法國菜",+886 7 559 6911,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/97e7f3013be84b7fa0ed2c0931196487.jpg,米其林推薦
高雄,仙香飲食店,"甲仙區文化路75之1號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 675 1142,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/7d113e5180e14b7c93072bd6ae92fd24.jpeg,米其林推薦
高雄,弄盞欣悅,"左營區文奇路215號, Kaohsiung, 臺灣","$$$$
                                    ·
                                

                                
                                    時尚歐陸菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/57f932bccc334cd4b3fb4148f1725e7c.jpg,米其林推薦
高雄,橋仔頭黃家肉燥飯 (橋頭),"橋頭區橋南路106號, Kaohsiung, 825, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 3253,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e10ea55c7808415d8e7edd92621e4679.jpeg,必比登推介
高雄,秋,"三民區九如一路815號2F (御盟國際驛館), Kaohsiung, 臺灣","$$$
                                    ·
                                

                                
                                    現代菜",+886 7 974 1218,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/50554200c2da4aae9662005cac99fd67.jpg,米其林推薦
高雄,Apis Grill,"三民區褒揚東街80號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    燒烤",+886 975 079 591,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/717cbabf70824a4dbf65acf2ff20e6e9.jpeg,必比登推介
高雄,正宗鴨肉飯,"左營區裕誠路245號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 556 6428,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/458dab86fca04596aca255d67b2842f7.jpeg,必比登推介
高雄,古家海鮮,"左營區德威街55號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 7 550 8687,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/46132af81e524d548ff34b510d5db24d.jpg,米其林推薦
高雄,阿香的廚房,"美濃區中山路二段629號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 681 7212,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ed0f6885820f46968081e15afae744a5.jpeg,必比登推介
高雄,米院子油飯,"新興區南海街30號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 222 6699,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/517a87e93a534c0cbc961bef26fb8a8e.jpg,必比登推介
未知,同,"中正區館前路22號2樓 (正旅館藍), Taipei, 臺灣","$$
                                    ·
                                

                                
                                    粵菜, 時尚菜",+886 976 684 366,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/91187013afd547e886b960ad994e9069.jpeg,米其林推薦
未知,鮨 嘉仁,"中山區吉林路28號, Taipei, 104, 臺灣","$$$$
                                    ·
                                

                                
                                    壽司",+886 2 2581 8999,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c225ae25fa834e87a408fc1d58ff5c05.jpg,米其林推薦
未知,天婦羅 杉村,"中山區樂群二路199號2樓 (中城廣場), Taipei, 臺灣","$$$$
                                    ·
                                

                                
                                    天婦羅",+886 2 8501 1157,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4c9b579489d04189a09081232dd286ea.jpg,米其林推薦
高雄,湖東牛肉館,"湖內區中山路一段107號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 693 0466,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6aaa699576b74b9cae61f42107071e94.jpeg,必比登推介
高雄,白玉樓,"前鎮區中華五路789號6樓 (夢時代), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 841 8555,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c95b690315fa4afebdc5c0b14de1f8d6.jpeg,米其林推薦
高雄,紅陶上海湯包 (前金),"前金區成功一路266號10樓 (漢來大飯店), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    餃子",+886 7 213 5751,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/eaa058732c0b4d539bb96866cd908ac9.jpg,米其林推薦
高雄,賣塩順,"鼓山區青海路173號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 553 0668,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8dd879617d4e48fc8ae299a3676dc80b.jpeg,必比登推介
高雄,溫度劑,"岡山區公園東路50號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    創新菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/8d07577eb03b4b45bc7eaabf6ab6fb8d.jpeg,米其林推薦
高雄,柏弘肉燥,"苓雅區青年一路183-1號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    臺灣菜",+886 7 332 2516,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c5fa0ce543f448a2bb23bb2498430e6f.jpeg,米其林推薦
高雄,泰元,"苓雅區苓雅二路53號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    泰國菜",+886 7 221 0662,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1cb16ff13fe44560a8e5a997a5ba6e76.jpeg,必比登推介
高雄,舊市羊肉 (岡山),"岡山區河華路111號, Kaohsiung, 820, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 625 8151,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/25e90f760cdf40bc81dfc6fd37d19b73.jpeg,必比登推介
高雄,三禾清豐,"苓雅區江都街63號, Kaohsiung, 802, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 966 063 568,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6b946c62c5b54ccd86cf68f6f11d8a94.jpg,米其林推薦
高雄,三餐暖食,"苓雅區中興街167號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    臺灣菜",+886 7 334 6263,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a515097ca59c42faa76dd3490998b396.jpeg,米其林推薦
高雄,三輪的店,"鳳山區八德路296巷25號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 953 696 085,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3f512cc268d94bff874d702b241342ae.jpeg,米其林推薦
未知,同,"中正區館前路22號2樓 (正旅館藍), Taipei, 臺灣","$$
                                    ·
                                

                                
                                    粵菜, 時尚菜",+886 976 684 366,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/91187013afd547e886b960ad994e9069.jpeg,米其林推薦
高雄,良佳豬腳,"三民區陽明路229號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 392 5533,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b63d30493e4049f3babd6f459a2fed48.jpeg,必比登推介
高雄,小燉食室,"前鎮區廣西路226號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 906 303 309,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/69abe6d8df1f4c12bb044ba2316a18af.jpg,必比登推介
未知,鮨 嘉仁,"中山區吉林路28號, Taipei, 104, 臺灣","$$$$
                                    ·
                                

                                
                                    壽司",+886 2 2581 8999,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c225ae25fa834e87a408fc1d58ff5c05.jpg,米其林推薦
高雄,沐,"新興區復橫一路128號, Kaohsiung, 臺灣","$$$
                                    ·
                                

                                
                                    創新菜",+886 7 225 0525,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ce065acd544c47e4a17dbe79bf48a276.jpeg,米其林推薦
高雄,長生29,"鹽埕區河西路3號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 241 5506,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/eea6a9bd526d4947acad326d132e0a46.jpeg,米其林推薦
高雄,冬瓜與胖子,"前鎮區英德街784巷12號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 727 9023,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f0e3e192282d4ef88cc459e877fde96e.jpeg,米其林推薦
高雄,天廚,"新興區中東街174號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    川菜, 臺灣菜",+886 7 224 6787,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a9af7134c55b449995072682d04b139b.jpeg,米其林推薦
高雄,方蒔,"苓雅區憲政路132號, Kaohsiung, 802, 臺灣","$$$
                                    ·
                                

                                
                                    創新菜",+886 7 223 1768,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/0aff9afe6a7e48e39a30c720d80449c6.jpeg,米其林推薦
未知,天婦羅 杉村,"中山區樂群二路199號2樓 (中城廣場), Taipei, 臺灣","$$$$
                                    ·
                                

                                
                                    天婦羅",+886 2 8501 1157,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/4c9b579489d04189a09081232dd286ea.jpg,米其林推薦
高雄,白玉樓,"前鎮區中華五路789號6樓 (夢時代), Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 841 8555,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/c95b690315fa4afebdc5c0b14de1f8d6.jpeg,米其林推薦
台南,繭 小料理,"中西區府前路二段206巷6號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    創新菜",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b5f41bfe122a497f83d58e73e21df431.jpg,米其林推薦
台南,傳家鹹粥,"安平區慶平路410號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 293 6960,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/dcca3e1163464c968903244384c5e1b9.jpeg,米其林推薦
台南,啢啢餐桌,"北區民德路85巷63號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 916 786 592,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6daede4bf2534ef8bd456f0805bb2d02.jpeg,米其林推薦
高雄,菜粽李,"苓雅區成功一路159號, Kaohsiung, 80249, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 331 3086,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/60f273eaf57e4da59504cfab79d77aa5.jpeg,必比登推介
台南,蓮霧腳羊肉湯,"新化區中正路361號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 937 789 004,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3e0b59548cfe428eb686593d8e6a4dce.jpeg,米其林推薦
台南,欣欣餐廳,"中西區民族路二段245號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 6 222 2509,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/9643034590e44b058d2990d3f9fe9ffe.jpeg,米其林推薦
台南,阿明豬心冬粉 (保安路),"中西區保安路72號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 223 3741,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/052d971aa204469292fbe004b38ab12f.jpeg,米其林推薦
高雄,廖記米糕,"橋頭區橋南路119號, Kaohsiung, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 8319,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/f18292f2bfa24462983fb44fd00cf85c.jpg,必比登推介
台南,川泰號虱目魚丸,"中西區大同路一段222號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 216 0928,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/ff79f3e974f441698da071c6a68465ec.jpeg,米其林推薦
台南,原則,"北區西華街34號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚法國菜",+886 6 222 3244,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2951b0530ea34deca517a0d0fecf377e.jpeg,米其林推薦
台南,葉家小卷米粉,"中西區國華街二段142號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 222 6142,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/81fea1a468484a4b8678b46477f7b725.jpg,必比登推介
台南,誠實鍋燒意麵,"中西區西門路一段702巷12號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    麵食",+886 968 617 018,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/d30e4f78e0a34ce28c0c59f939b88498.jpeg,必比登推介
台南,阿裕牛肉 (崑崙路),"仁德區崑崙路733之1號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    火鍋",+886 6 279 5500,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/b315f22b0e594070a68dd6a2bef0e685.jpeg,米其林推薦
台南,黃家蝦捲,"中西區西和路268號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 350 6209,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/cc214fead78e4b97a797882b10bea799.jpeg,必比登推介
台南,香草小餐酒,"安平區永華路二段950號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    時尚歐陸菜",+886 6 299 0011,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6e11baa45df647d4ab6736333539bdc6.jpeg,米其林推薦
台南,毛蔬,"東區府東街43號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    素食",+886 6 209 4699,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/bbfe801b08344e55b8f3014e06c5d4d4.jpg,米其林推薦
台南,阿星鹹粥,"中西區民族路三段289號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    粥品",+886 6 220 0941,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fd8f169affc348fd99e584956e60bb5f.jpeg,必比登推介
台南,謝掌櫃,"安平區運河路23巷5號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 221 3215,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/69b4f877639a404aa3f92c9dd15ced5c.jpeg,必比登推介
台南,一味品,"中西區國華街三段177-179號 (永樂市場攤號111及112), Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 228 8563,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/24171b99cc9246f2b807a5264f395433.jpeg,必比登推介
台南,黑琵食堂,"七股區十份里海埔17之18號, Tainan, 724, 臺灣","$$
                                    ·
                                

                                
                                    海鮮",+886 928 300 155,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a9a068724dc7494da88708fbeacae4d2.jpeg,必比登推介
高雄,橋仔頭黃家肉燥飯 (橋頭),"橋頭區橋南路106號, Kaohsiung, 825, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 7 612 3253,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/e10ea55c7808415d8e7edd92621e4679.jpeg,必比登推介
台南,西羅殿牛肉湯,"北區公園南路98號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 229 4056,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5e9d8315005b44a3b544ff7d20a67f32.jpeg,必比登推介
台南,牛五蔵,"安平區建平路577號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    火鍋",+886 6 297 0709,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6d922499b6584a4e94586021172375f2.jpeg,米其林推薦
台南,開元紅燒土魠魚羮,"北區開元路307號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 237 3195,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/1573f0a6bc944a018e2808e7da4575e7.jpeg,必比登推介
台南,阿村牛肉湯 (保安路),"中西區保安路41號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 229 3908,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/5d06294d9d654501999f5bc641d2f6d2.jpeg,米其林推薦
台南,三好一公道當歸鴨,"中西區府前路一段2號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    小吃",+886 6 220 6858,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a766d15a9295435b8327366416340d35.jpeg,必比登推介
台南,沙淘宮廟海產,"中西區西門路二段86號, Tainan, 臺灣","$
                                    ·
                                

                                
                                    臺灣菜",+886 6 228 8321,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/fc1d8bb2e3c54c4c923e13a6cbbd193f.jpeg,米其林推薦
高雄,湖東牛肉館,"湖內區中山路一段107號, Kaohsiung, 臺灣","$$
                                    ·
                                

                                
                                    臺灣菜",+886 7 693 0466,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/6aaa699576b74b9cae61f42107071e94.jpeg,必比登推介
台南,順德牛肉湯,"學甲區民權路59號, Tainan, 臺灣","$$
                                    ·
                                

                                
                                    小吃",+886 6 782 0161,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/596c057701684792b9019844676e5bda.jpeg,米其林推薦
台南,橄饗家,"安平區安北路590號, Tainan, 臺灣","$$$
                                    ·
                                

                                
                                    西班牙菜",+886 6 391 1687,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/efccf24890364e319106c32f91306576.jpg,米其林推薦
